"id";"execution_time";"resources_used";"dataset_content";"strategy_param";"num_kernels";"num_branches";"tree_depth";"pruned_branches";"file_name";"boundary";"optimal_solution";"div_conq";"sw_size";"kernel_remainder";"alpha";"num_formulae"
7048;1.89921;"37432 KB";"[""A0&&((A1&&A1)||A2)"", ""!A0"", ""A0"", ""!A1"", ""!A2"", ""A0&&(A1&&A0)"", ""A1||(A1||A1)"", ""(A1&&A2)&&!A2"", ""!A1||(A2||A0)"", ""!(A2||!A0)""]";"3";11;13;7;3;"data/SRS/Dataset_A/sig3_5_15/srs_47.txt";1.0;"[""!(A2||!A0)"", ""(A1&&A2)&&!A2"", ""A1||(A1||A1)"", ""A0&&(A1&&A0)"", ""A0"", ""A0&&((A1&&A1)||A2)""]";0;1;"kernel";"A0&&!A0";10
7049;2.33626;"37444 KB";"[""A0&&((A1&&A1)||A2)"", ""!A0"", ""A0"", ""!A1"", ""!A2"", ""A0&&(A1&&A0)"", ""A1||(A1||A1)"", ""(A1&&A2)&&!A2"", ""!A1||(A2||A0)"", ""!(A2||!A0)""]";"3";11;13;7;3;"data/SRS/Dataset_A/sig3_5_15/srs_47.txt";1.0;"[""!(A2||!A0)"", ""(A1&&A2)&&!A2"", ""A1||(A1||A1)"", ""A0&&(A1&&A0)"", ""A0"", ""A0&&((A1&&A1)||A2)""]";1;1;"kernel";"A0&&!A0";10
7050;1.85921;"37524 KB";"[""A0&&((A1&&A1)||A2)"", ""!A0"", ""A0"", ""!A1"", ""!A2"", ""A0&&(A1&&A0)"", ""A1||(A1||A1)"", ""(A1&&A2)&&!A2"", ""!A1||(A2||A0)"", ""!(A2||!A0)""]";"3";11;12;7;2;"data/SRS/Dataset_A/sig3_5_15/srs_47.txt";1.0;"[""!(A2||!A0)"", ""A1||(A1||A1)"", ""(A1&&A2)&&!A2"", ""A0&&(A1&&A0)"", ""A0"", ""A0&&((A1&&A1)||A2)""]";1;5;"kernel";"A0&&!A0";10
7051;1.58381;"37392 KB";"[""A0&&((A1&&A1)||A2)"", ""!A0"", ""A0"", ""!A1"", ""!A2"", ""A0&&(A1&&A0)"", ""A1||(A1||A1)"", ""(A1&&A2)&&!A2"", ""!A1||(A2||A0)"", ""!(A2||!A0)""]";"3";9;10;7;2;"data/SRS/Dataset_A/sig3_5_15/srs_47.txt";1.0;"[""A1||(A1||A1)"", ""!(A2||!A0)"", ""(A1&&A2)&&!A2"", ""A0&&(A1&&A0)"", ""A0"", ""A0&&((A1&&A1)||A2)""]";1;10;"kernel";"A0&&!A0";10
7052;1.23587;"37284 KB";"[""A0&&A1"", ""A0&&A2"", ""A0"", ""A2"", ""(A0&&A0)&&A1"", ""!(A1||A1)||A0"", ""(!A2||A0)||!A0"", ""!(A2&&A2)"", ""A2||A1"", ""!A2&&!A0""]";"3";9;12;6;4;"data/SRS/Dataset_A/sig3_5_15/srs_48.txt";0.0;"[""A2||A1"", ""A2"", ""(A0&&A0)&&A1"", ""A0"", ""A0&&A2"", ""A0&&A1""]";0;1;"kernel";"A0&&!A0";10
7053;1.25092;"37532 KB";"[""A0&&A1"", ""A0&&A2"", ""A0"", ""A2"", ""(A0&&A0)&&A1"", ""!(A1||A1)||A0"", ""(!A2||A0)||!A0"", ""!(A2&&A2)"", ""A2||A1"", ""!A2&&!A0""]";"3";9;12;6;4;"data/SRS/Dataset_A/sig3_5_15/srs_48.txt";0.0;"[""A2||A1"", ""A2"", ""(A0&&A0)&&A1"", ""A0"", ""A0&&A2"", ""A0&&A1""]";1;1;"kernel";"A0&&!A0";10
7054;1.90399;"37472 KB";"[""A0&&A1"", ""A0&&A2"", ""A0"", ""A2"", ""(A0&&A0)&&A1"", ""!(A1||A1)||A0"", ""(!A2||A0)||!A0"", ""!(A2&&A2)"", ""A2||A1"", ""!A2&&!A0""]";"3";12;18;7;7;"data/SRS/Dataset_A/sig3_5_15/srs_48.txt";0.0;"[""A2"", ""!(A1||A1)||A0"", ""(A0&&A0)&&A1"", ""A0"", ""A0&&A2"", ""A0&&A1""]";1;5;"kernel";"A0&&!A0";10
7055;1.86337;"37316 KB";"[""A0&&A1"", ""A0&&A2"", ""A0"", ""A2"", ""(A0&&A0)&&A1"", ""!(A1||A1)||A0"", ""(!A2||A0)||!A0"", ""!(A2&&A2)"", ""A2||A1"", ""!A2&&!A0""]";"3";10;16;7;7;"data/SRS/Dataset_A/sig3_5_15/srs_48.txt";0.0;"[""A2"", ""!(A1||A1)||A0"", ""(A0&&A0)&&A1"", ""A0"", ""A0&&A2"", ""A0&&A1""]";1;10;"kernel";"A0&&!A0";10
7056;1.0709;"37328 KB";"[""A0&&A1"", ""!A0||A0"", ""A0&&A0"", ""!A0"", ""A1"", ""(A1||A0)||A1"", ""(A2&&(A0||A0))||(A2||A1)"", ""(!A2&&A1)||A0"", ""!(A2||A0)"", ""A1&&A0"", ""A2&&A0""]";"3";5;4;4;0;"data/SRS/Dataset_A/sig3_5_15/srs_49.txt";1.0;"[""A2&&A0"", ""A1&&A0"", ""A0&&A0"", ""A0&&A1""]";0;1;"kernel";"A0&&!A0";11
7057;1.23229;"37412 KB";"[""A0&&A1"", ""!A0||A0"", ""A0&&A0"", ""!A0"", ""A1"", ""(A1||A0)||A1"", ""(A2&&(A0||A0))||(A2||A1)"", ""(!A2&&A1)||A0"", ""!(A2||A0)"", ""A1&&A0"", ""A2&&A0""]";"3";5;4;4;0;"data/SRS/Dataset_A/sig3_5_15/srs_49.txt";1.0;"[""A2&&A0"", ""A1&&A0"", ""A0&&A0"", ""A0&&A1""]";1;1;"kernel";"A0&&!A0";11
